5,5,1,21,6,3.5,7,4,1.0,4.0,53.70386,54.709286,55.71781,55.717926,59.223385,59.22353,2.0,1.4437782,60.66731,62.74094,3.5176933,62.74132,68.74661
6,6,1,23,8,2,1,7,1.0,5.0,68.74864,69.75403,70.76262,70.76273,72.767944,72.76809,3.0,1.4751313,74.24322,76.283844,3.5160642,76.28425,84.28972
﻿TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,3,23,2,5,1,0,1.0,0.0,4.0071616,5.012916,6.0271726,6.027224,11.0326185,11.032798,3.0,2.816465,13.849263,14.549792,3.5173652,14.550294,16.555292
2,2,3,25,4,5,0,4,1.0,1.0,16.556606,17.56178,18.57171,18.571764,23.576714,23.576864,999.0,999.0,999.0,26.591757,3.531931,27.108957,31.113447
3,3,2,21,4,2,4,9,1.0,2.0,31.115204,32.12049,33.129036,33.12919,35.134304,35.134426,--,--,--,--,--,--,--
4,4,2,19,2,3.5,9,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,5,1,21,6,3.5,7,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,1,23,8,2,1,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
﻿TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,3,23,2,5,1,0,1.0,0.0,4.007371,5.012715,6.0263376,6.02639,11.031962,11.03214,3.0,1.1634974,12.195637,14.54932,3.5175536,14.549805,16.5552
2,2,3,25,4,5,0,4,1.0,1.0,16.55642,17.561619,18.571507,18.571558,23.577694,23.57784,2.0,1.9278126,25.505653,27.095161,3.517599,27.095531,31.10158
3,3,2,21,4,2,4,9,1.0,2.0,31.102833,32.10926,33.11964,33.119793,35.125546,35.125664,2.0,1.7714065,36.89707,38.642605,3.5172412,38.643013,42.649105
4,4,2,19,2,3.5,9,4,1.0,3.0,42.65052,43.656254,44.665283,44.665436,48.171047,48.171173,2.0,2.535381,50.706554,51.68773,3.516838,51.688103,53.69386
5,5,1,21,6,3.5,7,4,1.0,4.0,53.695183,54.70136,55.710476,55.71059,59.215927,59.216045,2.0,1.4641762,60.68022,62.733505,3.5177562,62.733902,68.73792
6,6,1,23,8,2,1,7,1.0,5.0,68.74015,69.745224,70.75492,70.755035,72.76059,72.76071,3.0,1.1622473,73.92296,76.278305,3.5178764,76.27868,84.28399
﻿TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,3,23,2,5,1,0,1.0,0.0,4.007297,5.0127683,6.0257144,6.025767,11.030915,11.03109,999.0,999.0,999.0,14.034809,3.5202174,14.551513,16.556389
2,2,3,25,4,5,0,4,1.0,1.0,16.55788,17.563248,18.572979,18.573034,23.578289,23.578438,3.0,0.38046,23.958899,27.094616,3.5165038,27.09504,31.099615
3,3,2,21,4,2,4,9,1.0,2.0,31.101213,32.10749,33.11635,33.1165,35.121014,35.12115,2.0,2.3478796,37.469032,38.63761,3.5167456,38.637993,42.64311
4,4,2,19,2,3.5,9,4,1.0,3.0,42.64544,43.65065,44.66036,44.660545,48.165707,48.16584,3.0,2.578341,50.744183,51.682194,3.5166636,51.6826,53.687744
5,5,1,21,6,3.5,7,4,1.0,4.0,53.689125,54.694984,55.704563,55.704678,59.20993,59.210083,3.0,1.6912802,60.901363,62.728016,3.518229,62.72841,68.73412
6,6,1,23,8,2,1,7,1.0,5.0,68.73659,69.74151,70.751595,70.75174,72.75661,72.75676,--,--,--,--,--,--,--
﻿TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,3,23,2,5,1,0,1.0,0.0,4.0070124,5.0126476,6.02991,6.0299826,11.034569,11.034839,3.0,1.5162506,12.551089,14.551117,3.516814,14.551835,16.555973
2,2,3,25,4,5,0,4,1.0,1.0,16.55807,17.563585,18.5759,18.575987,23.580256,23.58048,2.0,1.4935447,25.074024,27.097975,3.517924,27.0986,31.10294
3,3,2,21,4,2,4,9,1.0,2.0,31.1053,32.109886,33.11954,33.119747,35.1239,35.124104,2.0,1.3235539,36.44766,38.641056,3.5173457,38.64165,42.646416
4,4,2,19,2,3.5,9,4,1.0,3.0,42.648724,43.65458,44.66351,44.66377,48.168446,48.16861,3.0,1.0855238,49.254135,51.685722,3.517531,51.686306,53.691025
5,5,1,21,6,3.5,7,4,1.0,4.0,53.692852,54.698257,55.708305,55.70851,59.212894,59.21306,2.0,0.9152824,60.12834,62.72981,3.5171428,62.73039,68.734726
6,6,1,23,8,2,1,7,1.0,5.0,68.73686,69.74233,70.75201,70.7522,72.75647,72.75663,3.0,0.7777387,73.53437,76.273476,3.5172763,76.274055,84.27875
﻿TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,3,23,2,5,1,0,1.0,0.0,4.008286,5.014542,6.0291758,6.0292335,11.034832,11.03502,999.0,999.0,999.0,14.047725,3.5294025,14.564627,16.570135
2,2,3,25,4,5,0,4,1.0,1.0,16.571468,17.577372,18.586588,18.586645,23.592281,23.592432,999.0,999.0,999.0,26.606455,3.5311584,27.123753,31.129135
3,3,2,21,4,2,4,9,1.0,2.0,31.130665,32.136726,33.145252,33.14541,35.150932,35.151062,2.0,2.9971857,38.148247,38.66763,3.5171318,38.668324,42.67373
4,4,2,19,2,3.5,9,4,1.0,3.0,42.675358,43.681293,44.68957,44.689728,48.195377,48.195503,3.0,1.9112144,50.10672,51.71201,3.5170703,51.712704,53.718178
5,5,1,21,6,3.5,7,4,1.0,4.0,53.719578,54.725597,55.733402,55.733524,59.239704,59.23983,2.0,2.7420776,61.98191,62.75622,3.5169678,62.75693,68.7624
6,6,1,23,8,2,1,7,1.0,5.0,68.764755,69.77036,70.778885,70.779015,72.78462,72.78475,2.0,1.472416,74.257164,76.30208,3.5178998,76.30278,84.30802
﻿TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,3,23,2,5,1,0,1.0,0.0,4.0080323,5.0136213,6.0258436,6.0259,11.031385,11.031567,999.0,999.0,999.0,14.033579,3.5182805,14.550076,16.555458
2,2,3,25,4,5,0,4,1.0,1.0,16.556824,17.56258,18.57143,18.571487,23.577017,23.577173,999.0,999.0,999.0,26.593142,3.5331032,27.110445,31.115932
3,3,2,21,4,2,4,9,1.0,2.0,31.117933,32.124416,33.132893,33.13305,35.138836,35.13896,999.0,999.0,999.0,38.15137,3.5294333,38.668587,42.673943
4,4,2,19,2,3.5,9,4,1.0,3.0,42.67608,43.681854,44.690666,44.69082,48.196404,48.19653,999.0,999.0,999.0,51.21074,3.5311577,51.727882,53.733192
5,5,1,21,6,3.5,7,4,1.0,4.0,53.734528,54.740643,55.749813,55.749935,59.2553,59.25542,999.0,999.0,999.0,62.268616,3.5300503,62.785667,68.791595
6,6,1,23,8,2,1,7,1.0,5.0,68.79398,69.799545,70.80811,70.808235,72.81363,72.81375,2.0,0.011188,72.82494,76.33154,3.5183942,76.332275,84.33812
