TrialNumber,Trial,ISI,ITI,winlose,face_image_L,face_image_R,,ran,order,decision_onset,resp,rt,resp_onset,resp_offset,trialDuration,pre_feedback_fix_onset,pre_feedback_fix_duration,arrow_onset,arrow_offset,ITIonset,ITIoffset,Date_Time
14,14,2,1.1,win,M35.jpg,M03.jpg,,1.0,13.0,148.04356,999.0,999.0,999.0,151.04791,3.0048897,151.04892,2.0,153.0657,156.10086,156.10123,157.21892,2019-10-30 14:03:54.300374
15,15,8,5.3,win,F73.jpg,F55.jpg,,1.0,14.0,157.27556,999.0,999.0,999.0,160.28795,3.012911,160.2888,2.0,162.30557,165.34033,165.3407,170.6586,2019-10-30 14:04:07.739814
16,16,2,3.2,win,M77.jpg,M59.jpg,,1.0,15.0,170.70068,999.0,999.0,999.0,173.71373,3.0135725,173.71458,2.0,175.73174,178.76701,178.76736,181.985,2019-10-30 14:04:19.065987
17,17,2,3.2,win,F41.jpg,F87.jpg,,1.0,16.0,182.05214,999.0,999.0,999.0,185.05511,3.0034966,185.05597,2.0,187.07277,190.10837,190.10872,193.32602,2019-10-30 14:04:30.406774
18,18,4,3.2,win,M117.jpg,M67.jpg,,1.0,17.0,193.37242,2.0,0.50801647,193.88045,196.88808,3.5159395,196.88853,2.0,198.8976,201.93327,201.93364,205.15044,2019-10-30 14:04:42.230966
19,19,2,11.6,win,F57.jpg,F31.jpg,,1.0,18.0,205.2197,3.0,0.70298636,205.92268,208.73451,3.515103,208.73497,2.0,210.75671,213.79126,213.79161,225.4097,2019-10-30 14:05:02.489850
20,20,2,5.3,loss,M71.jpg,M31.jpg,,1.0,19.0,225.45773,2.0,2.2633579,227.72108,228.97295,3.5155132,228.97342,2.0,230.9865,234.00577,234.00594,239.3242,2019-10-30 14:05:16.404066
21,21,2,5.3,win,M21.jpg,M19.jpg,,1.0,20.0,239.37706,999.0,999.0,999.0,242.37944,3.0029058,242.3803,2.0,244.39772,247.43289,247.43324,252.75092,2019-10-30 14:05:29.830525
22,22,2,3.2,loss,M09.jpg,M83.jpg,,1.0,21.0,252.80249,2.0,0.7033463,253.50584,256.31802,3.5158265,256.3185,2.0,258.32382,261.34067,261.34085,264.55933,2019-10-30 14:05:41.638715
23,23,4,1.1,loss,M91.jpg,M17.jpg,,1.0,22.0,264.60678,999.0,999.0,999.0,267.61395,3.0076938,267.6148,2.0,269.6316,272.64902,272.6492,273.76663,2019-10-30 14:05:50.845921
24,24,4,1.1,loss,F59.jpg,F89.jpg,,1.0,23.0,273.8207,999.0,999.0,999.0,276.821,3.0008516,276.8219,2.0,278.83798,281.85574,281.85593,282.9752,2019-10-30 14:06:00.054230
25,25,2,5.3,win,F35.jpg,F83.jpg,,1.0,24.0,283.0406,3.0,0.36986223,283.41046,286.5545,3.514187,286.55496,2.0,288.56107,291.5974,291.59766,296.91522,2019-10-30 14:06:13.993990
26,26,4,5.3,loss,M63.jpg,M115.jpg,,1.0,25.0,296.9541,2.0,0.41588396,297.37,300.47028,3.5164466,300.47073,2.0,302.48816,305.506,305.50616,310.82443,2019-10-30 14:06:27.902932
27,27,6,3.2,win,M73.jpg,M81.jpg,,1.0,26.0,310.87448,3.0,0.4372499,311.31174,314.3914,3.5171924,314.39185,2.0,316.39725,319.43353,319.4339,322.65164,2019-10-30 14:06:39.729917
28,28,6,1.1,loss,F09.jpg,F105.jpg,,1.0,27.0,322.71042,2.0,0.9953207,323.70575,326.22598,3.515854,326.22644,2.0,328.2396,331.25787,331.25803,332.37634,2019-10-30 14:06:49.454461
29,29,2,3.2,win,F117.jpg,F37.jpg,,1.0,28.0,332.44754,2.0,0.9642477,333.41177,335.96338,3.5161564,335.96387,2.0,337.9799,341.01614,341.01648,344.23346,2019-10-30 14:07:01.311292
30,30,4,1.1,loss,F19.jpg,F77.jpg,,1.0,29.0,344.3017,999.0,999.0,999.0,347.30383,3.0026648,347.3047,2.0,349.32138,352.33936,352.33954,353.4588,2019-10-30 14:07:10.536449
31,31,6,1.1,loss,M45.jpg,M105.jpg,,1.0,30.0,353.49542,3.0,0.5478921,354.0433,357.01114,3.5160236,357.01163,2.0,359.02795,362.04553,362.0457,363.1642,2019-10-30 14:07:20.241700
32,32,2,1.1,loss,M01.jpg,M119.jpg,,1.0,31.0,363.2128,999.0,999.0,999.0,366.21732,3.0050426,366.21817,2.0,368.23416,371.2524,371.25256,372.37158,2019-10-30 14:07:29.448892
33,33,4,5.3,win,M53.jpg,M75.jpg,,1.0,32.0,372.42102,2.0,1.0198519,373.44086,375.93646,3.5157633,375.93695,2.0,377.9587,380.99445,380.99478,386.3119,2019-10-30 14:07:43.388924
34,34,2,1.1,loss,F21.jpg,F97.jpg,,1.0,33.0,386.37473,999.0,999.0,999.0,389.3837,3.0094862,389.38455,2.0,391.40137,394.41974,394.4199,395.5383,2019-10-30 14:07:52.615145
35,35,6,3.2,loss,F65.jpg,F23.jpg,,1.0,34.0,395.6042,2.0,2.5712438,398.17545,399.11935,3.5154448,399.1198,2.0,401.14124,404.15894,404.15912,407.37894,2019-10-30 14:08:04.455610
36,36,4,5.3,win,F93.jpg,F03.jpg,,1.0,35.0,407.43524,2.0,2.815376,410.25064,410.95074,3.5157776,410.9512,2.0,412.9666,416.00204,416.00238,421.31952,2019-10-30 14:08:18.395862
37,37,3,5.3,loss,M103.jpg,M55.jpg,,1.0,36.0,421.35663,2.0,0.38613078,421.74277,424.87137,3.5150096,424.87183,2.0,426.87537,429.8946,429.89478,435.21323,2019-10-30 14:08:32.289319
38,38,6,1.1,win,F49.jpg,F113.jpg,,1.0,37.0,435.2795,3.0,0.8722534,436.15176,438.7953,3.5160625,438.79575,2.0,440.80142,443.83856,443.83893,444.956,2019-10-30 14:08:42.031875
39,39,2,1.1,loss,F91.jpg,F99.jpg,,1.0,38.0,445.0246,3.0,0.5843592,445.60895,448.5401,3.5157945,448.54056,2.0,450.55997,453.57825,453.5784,454.6967,2019-10-30 14:08:51.772385
40,40,2,5.3,loss,M107.jpg,M11.jpg,,1.0,39.0,454.74414,999.0,999.0,999.0,457.74857,3.0049715,457.74945,2.0,459.76645,462.78415,462.78433,468.10266,2019-10-30 14:09:05.178093
41,41,2,1.1,loss,M93.jpg,M47.jpg,,1.0,40.0,468.15277,2.0,0.28713328,468.4399,471.66983,3.517346,471.6703,2.0,473.67694,476.6942,476.69446,477.8128,2019-10-30 14:09:14.888056
42,42,4,3.2,loss,F51.jpg,F01.jpg,,1.0,41.0,477.87134,999.0,999.0,999.0,480.88202,3.0111425,480.88272,2.0,482.8996,485.91684,485.91702,489.13626,2019-10-30 14:09:26.211310
43,43,3,7.4,win,F69.jpg,F85.jpg,,1.0,42.0,489.1999,3.0,1.1911498,490.39105,492.715,3.5153904,492.71545,2.0,494.72452,497.75974,497.76007,505.17764,2019-10-30 14:09:42.252360
44,44,6,1.1,loss,F101.jpg,F17.jpg,,1.0,43.0,505.23868,3.0,0.6292384,505.86792,508.75446,3.5160582,508.75488,2.0,510.76822,513.78754,513.7877,514.90625,2019-10-30 14:09:51.980757
45,45,3,1.1,win,M61.jpg,M41.jpg,,1.0,44.0,514.9491,3.0,0.87673986,515.8258,518.46454,3.5157597,518.465,2.0,520.4762,523.5121,523.51245,524.6293,2019-10-30 14:10:01.703622
46,46,3,1.1,loss,M69.jpg,M37.jpg,,1.0,45.0,524.6677,2.0,0.51465005,525.1824,528.1833,3.5158694,528.1838,2.0,530.19836,533.2176,533.2178,534.336,2019-10-30 14:10:11.410132
47,47,6,3.2,loss,M51.jpg,M85.jpg,,1.0,46.0,534.3798,2.0,1.1764946,535.5563,537.8953,3.515811,537.8958,2.0,539.9058,542.9242,542.9244,546.14264,2019-10-30 14:10:23.216542
48,48,6,5.3,loss,F109.jpg,F75.jpg,,1.0,47.0,546.2019,2.0,0.42840847,546.6303,549.71747,3.5158849,549.71796,2.0,551.7313,554.7493,554.74945,560.0688,2019-10-30 14:10:37.142472
49,49,5,5.3,loss,F103.jpg,F27.jpg,,1.0,48.0,560.13855,2.0,0.41907215,560.5576,563.6535,3.515255,563.654,2.0,565.6746,568.69244,568.69257,574.0115,2019-10-30 14:10:51.084843
50,50,2,5.3,loss,M49.jpg,M07.jpg,,1.0,49.0,574.0627,999.0,999.0,999.0,577.06757,3.005367,577.0684,2.0,579.0841,582.10223,582.1024,587.42126,2019-10-30 14:11:04.494369
51,51,4,3.2,win,F119.jpg,F79.jpg,,1.0,50.0,587.4798,999.0,999.0,999.0,590.49316,3.01386,590.494,2.0,592.50995,595.5461,595.54645,598.76337,2019-10-30 14:11:15.836259
52,52,3,1.1,win,F53.jpg,F67.jpg,,1.0,51.0,598.82806,2.0,0.5065794,599.33466,602.3436,3.515873,602.3441,2.0,604.3531,607.3885,607.38885,608.506,2019-10-30 14:11:25.578691
53,53,6,3.2,loss,F95.jpg,F81.jpg,,1.0,52.0,608.56537,999.0,999.0,999.0,611.57477,3.0099432,611.5756,2.0,613.5925,616.6098,616.61,619.8286,2019-10-30 14:11:36.901119
54,54,5,3.2,win,M05.jpg,M89.jpg,,1.0,53.0,619.88983,999.0,999.0,999.0,622.8994,3.0101378,622.90027,2.0,624.9171,627.95245,627.9528,631.17053,2019-10-30 14:11:48.242788
55,55,5,1.1,win,F29.jpg,F107.jpg,,1.0,54.0,631.2287,999.0,999.0,999.0,634.24066,3.0124626,634.2415,2.0,636.2586,639.29364,639.294,640.4118,2019-10-30 14:11:57.483907
56,56,5,1.1,win,F43.jpg,F33.jpg,,1.0,55.0,640.4826,999.0,999.0,999.0,643.49744,3.0153468,643.4983,2.0,645.5143,648.55066,648.551,649.668,2019-10-30 14:12:06.739958
57,57,3,1.1,win,F25.jpg,F111.jpg,,1.0,56.0,649.7242,999.0,999.0,999.0,652.73706,3.0133727,652.7379,2.0,654.755,657.79047,657.79083,658.9085,2019-10-30 14:12:15.980268
58,58,4,5.3,win,M23.jpg,M15.jpg,,1.0,57.0,658.9654,999.0,999.0,999.0,661.97766,3.0127609,661.9785,2.0,663.9953,667.03107,667.03143,672.3483,2019-10-30 14:12:29.419788
59,59,4,5.3,win,M43.jpg,M99.jpg,,1.0,58.0,672.4042,999.0,999.0,999.0,675.42004,3.016415,675.4209,2.0,677.4378,680.47296,680.47327,685.79095,2019-10-30 14:12:42.862167
60,60,4,5.3,loss,M57.jpg,M79.jpg,,1.0,59.0,685.8333,999.0,999.0,999.0,688.84644,3.0135977,688.8473,2.0,690.8632,693.8818,693.88196,699.20074,2019-10-30 14:12:56.271687
